,X,Filename,Speaker,Phone,Word,Word_Start,Word_End,VOT_Start,VOT_End,VOT,VOT_Measure,VDC_Measure,VDC_Start,VDC_End,VDC_Dur,CD_Measure,CD_Start,CD_End,CD_Dur,Phone_Start,Phone_End
1,1,00-M-f03-medi_2-voiced_preds-TR,00-M-f03,b,about,135.123,135.323,NA,NA,NA,no,not_considered,NA,NA,NA,not_considered,NA,NA,NA,135.153,135.213
2,2,00-M-f03-medi_2-voiced_preds-TR,00-M-f03,b,back,1384.631,1384.771,1384.666,1384.672,0.006000000000085,yes,not_considered,NA,NA,NA,not_considered,NA,NA,NA,1384.631,1384.671
3,3,00-M-f03-medi_2-voiced_preds-TR,00-M-f03,b,bad,416.287,416.377,NA,NA,NA,no,not_considered,NA,NA,NA,not_considered,NA,NA,NA,416.287,416.317
4,4,00-M-f03-medi_2-voiced_preds-TR,00-M-f03,b,bang,1191.716,1192.066,1191.781,1191.787,0.006000000000085,yes,yes,1191.7161,1191.7811,0.065,yes,1191.7161,1191.7811,0.065,1191.716,1191.756
5,5,00-M-f03-medi_2-voiced_preds-TR,00-M-f03,b,battered,144.952,145.302,NA,NA,NA,no,not_considered,NA,NA,NA,not_considered,NA,NA,NA,144.952,144.992
6,6,00-M-f03-medi_2-voiced_preds-TR,00-M-f03,b,be,130.34,130.59,NA,NA,NA,no,not_considered,NA,NA,NA,not_considered,NA,NA,NA,130.34,130.465
7,7,00-M-f03-medi_2-voiced_preds-TR,00-M-f03,b,be,138.32,138.48,NA,NA,NA,no,not_considered,NA,NA,NA,not_considered,NA,NA,NA,138.32,138.41
8,8,00-M-f03-medi_2-voiced_preds-TR,00-M-f03,b,be,970.511,970.591,NA,NA,NA,no,not_considered,NA,NA,NA,not_considered,NA,NA,NA,970.511,970.561
9,9,00-M-f03-medi_2-voiced_preds-TR,00-M-f03,b,be,1269.259,1269.319,1269.281,1269.29,0.009000000000015,yes,not_considered,NA,NA,NA,not_considered,NA,NA,NA,1269.259,1269.289
10,10,00-M-f03-medi_2-voiced_preds-TR,00-M-f03,b,be,1273.884,1273.954,1273.905,1273.916,0.010999999999967,yes,not_considered,NA,NA,NA,not_considered,NA,NA,NA,1273.884,1273.924
